date,state,district,type,beds
1/1/2022,Pulau Pinang,Seberang Perai Utara (Butterworth),hospital_moh,134
1/1/2022,Pulau Pinang,Seberang Perai Utara (Butterworth),hospital_non_moh,0
1/1/2022,Pulau Pinang,Seberang Perai Utara (Butterworth),special_medical_institution,0
1/1/2022,Pulau Pinang,Timur Laut (Georgetown),hospital_moh,1163
1/1/2022,Pulau Pinang,Timur Laut (Georgetown),hospital_non_moh,0
1/1/2022,Pulau Pinang,Timur Laut (Georgetown),special_medical_institution,0
1/1/2022,Sabah,Beaufort,hospital_moh,275
1/1/2022,Sabah,Beaufort,hospital_non_moh,0
1/1/2022,Sabah,Beaufort,special_medical_institution,0
1/1/2022,Sabah,Beluran,hospital_moh,52
1/1/2022,Sabah,Beluran,hospital_non_moh,0
1/1/2022,Sabah,Beluran,special_medical_institution,0
1/1/2022,Sabah,Keningau,hospital_moh,216
1/1/2022,Sabah,Keningau,hospital_non_moh,0
1/1/2022,Sabah,Keningau,special_medical_institution,0
1/1/2022,Sabah,Kinabatangan,hospital_moh,68
1/1/2022,Sabah,Kinabatangan,hospital_non_moh,0
1/1/2022,Sabah,Kinabatangan,special_medical_institution,0
1/1/2022,Sabah,Kota Belud,hospital_moh,172
1/1/2022,Sabah,Kota Belud,hospital_non_moh,0
1/1/2022,Sabah,Kota Belud,special_medical_institution,0
1/1/2022,Sabah,Kota Kinabalu,hospital_moh,1175
1/1/2022,Sabah,Kota Kinabalu,hospital_non_moh,40
1/1/2022,Sabah,Kota Kinabalu,special_medical_institution,960
1/1/2022,Sabah,Kota Marudu,hospital_moh,97
1/1/2022,Sabah,Kota Marudu,hospital_non_moh,0
1/1/2022,Sabah,Kota Marudu,special_medical_institution,0
1/1/2022,Sabah,Kota Penyu,hospital_moh,48
1/1/2022,Sabah,Kota Penyu,hospital_non_moh,0
1/1/2022,Sabah,Kota Penyu,special_medical_institution,0
1/1/2022,Sabah,Kudat,hospital_moh,180
1/1/2022,Sabah,Kudat,hospital_non_moh,0
1/1/2022,Sabah,Kudat,special_medical_institution,0
1/1/2022,Sabah,Kunak,hospital_moh,48
