state,district,date,sex,age,population
Johor,Batu Pahat,1/1/2022,male,45-49,1.1
Johor,Batu Pahat,1/1/2022,male,50-54,13.9
Johor,Batu Pahat,1/1/2022,male,50-54,8.1
Johor,Batu Pahat,1/1/2022,male,50-54,0.1
Johor,Batu Pahat,1/1/2022,male,50-54,4.6
Johor,Batu Pahat,1/1/2022,male,50-54,0.2
Johor,Batu Pahat,1/1/2022,male,50-54,0.1
Johor,Batu Pahat,1/1/2022,male,50-54,0.8
Johor,Batu Pahat,1/1/2022,male,55-59,12.8
Johor,Batu Pahat,1/1/2022,male,55-59,7.5
Johor,Batu Pahat,1/1/2022,male,55-59,0.1
Johor,Batu Pahat,1/1/2022,male,55-59,4.3
Johor,Batu Pahat,1/1/2022,male,55-59,0.2
Johor,Batu Pahat,1/1/2022,male,55-59,0
Johor,Batu Pahat,1/1/2022,male,55-59,0.6
Johor,Batu Pahat,1/1/2022,male,60-64,10.7
Johor,Batu Pahat,1/1/2022,male,60-64,6.4
Johor,Batu Pahat,1/1/2022,male,60-64,0
Johor,Batu Pahat,1/1/2022,male,60-64,3.7
Johor,Batu Pahat,1/1/2022,male,60-64,0.2
Johor,Batu Pahat,1/1/2022,male,60-64,0.1
Johor,Batu Pahat,1/1/2022,male,60-64,0.4
Johor,Batu Pahat,1/1/2022,male,65-69,7.2
Johor,Batu Pahat,1/1/2022,male,65-69,4.3
Johor,Batu Pahat,1/1/2022,male,65-69,0
Johor,Batu Pahat,1/1/2022,male,65-69,2.2
Johor,Batu Pahat,1/1/2022,male,65-69,0.1
Johor,Batu Pahat,1/1/2022,male,65-69,0.1
Johor,Batu Pahat,1/1/2022,male,65-69,0.4
Johor,Batu Pahat,1/1/2022,male,70-74,4.7
Johor,Batu Pahat,1/1/2022,male,70-74,2.9
Johor,Batu Pahat,1/1/2022,male,70-74,0
Johor,Batu Pahat,1/1/2022,male,70-74,1.4
Johor,Batu Pahat,1/1/2022,male,70-74,0.1
Johor,Batu Pahat,1/1/2022,male,70-74,0
Johor,Batu Pahat,1/1/2022,male,70-74,0.3
Johor,Batu Pahat,1/1/2022,male,75-79,2.6
Johor,Batu Pahat,1/1/2022,male,75-79,1.6
Johor,Batu Pahat,1/1/2022,male,75-79,0
Johor,Batu Pahat,1/1/2022,male,75-79,0.9
Johor,Batu Pahat,1/1/2022,male,75-79,0
Johor,Batu Pahat,1/1/2022,male,75-79,0
Johor,Batu Pahat,1/1/2022,male,75-79,0.2
Johor,Batu Pahat,1/1/2022,male,80-84,1.5
Johor,Batu Pahat,1/1/2022,male,80-84,0.8
Johor,Batu Pahat,1/1/2022,male,80-84,0
Johor,Batu Pahat,1/1/2022,male,80-84,0.5
Johor,Batu Pahat,1/1/2022,male,80-84,0
Johor,Batu Pahat,1/1/2022,male,80-84,0
Johor,Batu Pahat,1/1/2022,male,80-84,0.2
Johor,Batu Pahat,1/1/2022,male,85+,1.3
Johor,Batu Pahat,1/1/2022,male,85+,0.7
Johor,Batu Pahat,1/1/2022,male,85+,0
Johor,Batu Pahat,1/1/2022,male,85+,0.3
Johor,Batu Pahat,1/1/2022,male,85+,0
Johor,Batu Pahat,1/1/2022,male,85+,0
Johor,Batu Pahat,1/1/2022,male,85+,0.2
Johor,Johor Bahru,1/1/2022,female,0-4,69.3
Johor,Johor Bahru,1/1/2022,female,0-4,42.6
