state,district,date,sex,age,ethnicity,population
Johor,Kulai,1/1/2022,female,30-34,overall,12.7
Johor,Kulai,1/1/2022,female,35-39,overall,12.1
Johor,Kulai,1/1/2022,female,40-44,overall,10.7
Johor,Kulai,1/1/2022,female,45-49,overall,9.2
Johor,Kulai,1/1/2022,female,50-54,overall,8.7
Johor,Kulai,1/1/2022,female,55-59,overall,7.6
Johor,Kulai,1/1/2022,female,60-64,overall,6.6
Johor,Kulai,1/1/2022,female,65-69,overall,5.1
Johor,Kulai,1/1/2022,female,70-74,overall,3.2
Johor,Kulai,1/1/2022,female,75-79,overall,1.9
Johor,Kulai,1/1/2022,female,80-84,overall,1.2
Johor,Kulai,1/1/2022,female,85+,overall,0.8
Johor,Kulai,1/1/2022,male,0-4,overall,10.2
Johor,Kulai,1/1/2022,male,5-9,overall,11.3
Johor,Kulai,1/1/2022,male,10-14,overall,12.9
Johor,Kulai,1/1/2022,male,15-19,overall,14
Johor,Kulai,1/1/2022,male,20-24,overall,19.7
Johor,Kulai,1/1/2022,male,25-29,overall,19
Johor,Kulai,1/1/2022,male,30-34,overall,16.2
Johor,Kulai,1/1/2022,male,35-39,overall,14.8
Johor,Kulai,1/1/2022,male,40-44,overall,12.5
Johor,Kulai,1/1/2022,male,45-49,overall,10.5
Johor,Kulai,1/1/2022,male,50-54,overall,9.1
Johor,Kulai,1/1/2022,male,55-59,overall,8.3
Johor,Kulai,1/1/2022,male,60-64,overall,6.9
Johor,Kulai,1/1/2022,male,65-69,overall,4.6
Johor,Kulai,1/1/2022,male,70-74,overall,2.8
Johor,Kulai,1/1/2022,male,75-79,overall,1.7
Johor,Kulai,1/1/2022,male,80-84,overall,1
Johor,Kulai,1/1/2022,male,85+,overall,1
Johor,Mersing,1/1/2022,female,0-4,overall,3
Johor,Mersing,1/1/2022,female,5-9,overall,2.7
Johor,Mersing,1/1/2022,female,10-14,overall,3.4
Johor,Mersing,1/1/2022,female,15-19,overall,3.2
Johor,Mersing,1/1/2022,female,20-24,overall,3.4
Johor,Mersing,1/1/2022,female,25-29,overall,3.1
Johor,Mersing,1/1/2022,female,30-34,overall,3
Johor,Mersing,1/1/2022,female,35-39,overall,3
Johor,Mersing,1/1/2022,female,40-44,overall,2.5
Johor,Mersing,1/1/2022,female,45-49,overall,2.1
Johor,Mersing,1/1/2022,female,50-54,overall,2
Johor,Mersing,1/1/2022,female,55-59,overall,1.8
Johor,Mersing,1/1/2022,female,60-64,overall,1.5
Johor,Mersing,1/1/2022,female,65-69,overall,1
Johor,Mersing,1/1/2022,female,70-74,overall,0.6
Johor,Mersing,1/1/2022,female,75-79,overall,0.3
Johor,Mersing,1/1/2022,female,80-84,overall,0.2
Johor,Mersing,1/1/2022,female,85+,overall,0.1
Johor,Mersing,1/1/2022,male,0-4,overall,3.1
Johor,Mersing,1/1/2022,male,5-9,overall,2.8
Johor,Mersing,1/1/2022,male,10-14,overall,3.7
Johor,Mersing,1/1/2022,male,15-19,overall,3.6
Johor,Mersing,1/1/2022,male,20-24,overall,4.4
Johor,Mersing,1/1/2022,male,25-29,overall,4
Johor,Mersing,1/1/2022,male,30-34,overall,3.7
Johor,Mersing,1/1/2022,male,35-39,overall,3.5
Johor,Mersing,1/1/2022,male,40-44,overall,2.9
Johor,Mersing,1/1/2022,male,45-49,overall,2.4
Johor,Mersing,1/1/2022,male,50-54,overall,2.1
Johor,Mersing,1/1/2022,male,55-59,overall,1.9
Johor,Mersing,1/1/2022,male,60-64,overall,1.6
Johor,Mersing,1/1/2022,male,65-69,overall,1
Johor,Mersing,1/1/2022,male,70-74,overall,0.6
Johor,Mersing,1/1/2022,male,75-79,overall,0.3
Johor,Mersing,1/1/2022,male,80-84,overall,0.2
Johor,Mersing,1/1/2022,male,85+,overall,0.2
Johor,Muar,1/1/2022,female,0-4,overall,9.6
Johor,Muar,1/1/2022,female,5-9,overall,11.9
Johor,Muar,1/1/2022,female,10-14,overall,12.8
Johor,Muar,1/1/2022,female,15-19,overall,12.2
Johor,Muar,1/1/2022,female,20-24,overall,12.6
Johor,Muar,1/1/2022,female,25-29,overall,11.5
Johor,Muar,1/1/2022,female,30-34,overall,11.1
Johor,Muar,1/1/2022,female,35-39,overall,11
Johor,Muar,1/1/2022,female,40-44,overall,9.6
Johor,Muar,1/1/2022,female,45-49,overall,8.3
Johor,Muar,1/1/2022,female,50-54,overall,8
Johor,Muar,1/1/2022,female,55-59,overall,7.2
Johor,Muar,1/1/2022,female,60-64,overall,6.2
Johor,Muar,1/1/2022,female,65-69,overall,4.6
Johor,Muar,1/1/2022,female,70-74,overall,2.9
Johor,Muar,1/1/2022,female,75-79,overall,1.7
Johor,Muar,1/1/2022,female,80-84,overall,1
Johor,Muar,1/1/2022,female,85+,overall,0.5
Johor,Muar,1/1/2022,male,0-4,overall,9.4
Johor,Muar,1/1/2022,male,5-9,overall,11.8
Johor,Muar,1/1/2022,male,10-14,overall,13.5
Johor,Muar,1/1/2022,male,15-19,overall,13.9
Johor,Muar,1/1/2022,male,20-24,overall,18.9
Johor,Muar,1/1/2022,male,25-29,overall,18.3
Johor,Muar,1/1/2022,male,30-34,overall,15.6
Johor,Muar,1/1/2022,male,35-39,overall,14.1
Johor,Muar,1/1/2022,male,40-44,overall,11.7
Johor,Muar,1/1/2022,male,45-49,overall,9.8
Johor,Muar,1/1/2022,male,50-54,overall,8.6
Johor,Muar,1/1/2022,male,55-59,overall,7.8
Johor,Muar,1/1/2022,male,60-64,overall,6.5
Johor,Muar,1/1/2022,male,65-69,overall,4.6
Johor,Muar,1/1/2022,male,70-74,overall,2.9
Johor,Muar,1/1/2022,male,75-79,overall,1.7
Johor,Muar,1/1/2022,male,80-84,overall,1
Johor,Muar,1/1/2022,male,85+,overall,0.9
Johor,Pontian,1/1/2022,female,0-4,overall,5.9
Johor,Pontian,1/1/2022,female,5-9,overall,6.6
Johor,Pontian,1/1/2022,female,10-14,overall,6.9
Johor,Pontian,1/1/2022,female,15-19,overall,6.8
Johor,Pontian,1/1/2022,female,20-24,overall,7.4
Johor,Pontian,1/1/2022,female,25-29,overall,6.7
Johor,Pontian,1/1/2022,female,30-34,overall,6.5
